Q2: Question,Q2: Réponse,Q3: Question,Q3: Réponse,Q3: Commentaire,Q4: Question,Q4: Réponse,Q4: Commentaire,Q5: Question,Q5: Réponse,Q5: Commentaire,Q6: Question,Q6: Réponse,Q6: Commentaire,Q7: Question,Q7: Réponse,Q7: Commentaire,Q8: Question,Q8: Réponse,Q8: Commentaire,Q9: Question,Q9: Réponse,Q9: Commentaire,Q10: Question,Q10: Réponse,Q10: Commentaire,Q11: Question,Q11: Réponse,Q12: Question,Q12: Réponse,Q13: Question,Q13: Réponse
Dans quel service développez-vous ?,Non renseigné,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",Non renseigné,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",Non renseigné,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",Non renseigné,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",Non renseigné,Non renseigné,Formation & support,Non renseigné,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,Non renseigné,Non renseigné,Si vous aviez trois choses à améliorer ce serait,Non renseigné,Si vous deviez lister 3 points forts,Non renseigné,Depuis un an vous diriez :,Non renseigné
Dans quel service développez-vous ?,SNDIP,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",5,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",5,Non renseigné,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",5,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",3,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",4,Non renseigné,Formation & support,4,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,4,Non renseigné,Si vous aviez trois choses à améliorer ce serait,Non renseigné,Si vous deviez lister 3 points forts,Non renseigné,Depuis un an vous diriez :,Que votre expérience développeur est la même
Dans quel service développez-vous ?,SNDIL,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",4,"Pas de licences pro disponibles pour les IDE.
Podman fonctionne beaucoup mieux que l'année passée
Globalement tout marche et l'écosystème est plutôt complet
Petit bonus pour la disponibilité systématique dans le centre logiciel","Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,Rundeck qui rame de plus en plus c'est l'enfer,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",4,"j'utilise peu mais ça viendra
les tests sont prometteurs, modulo la récupération des logs","Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",4,"gros progrès du contenu de compass, mais il y a des différences entre checkmark et analyzer
disparition des gitleaks -> gros effet incitatif du point hebdomadaire du DSI","Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",Non renseigné,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",3,"Manque de pratique collective en dehors du SNDI, peu d'intéractions avec les autres devs de France",Formation & support,2,"Les formations gagneraient à être proposées au niveau national : les mails annonçant qu'il reste 1/2 places pour la formation Prompt IA faites dans tel SNDI pour avoir comme réponse => plus de place, et probablement pas assez de participants dans mon SNDI pour organiser une session de cette formation.
Les formateurs externes sont de qualité variable, quelques bonnes surprises, quelques grosses déceptions également.
Le ressenti sur l'offre de formation technique : pas grand chose de disponible => du contenu sur makaret pour de l'autoformation / mise à jour /découverte de Framework  langage",Votre avis global sur votre expérience de développeur à l'Insee,3,"J'ai l'impression de ne pas pouvoir donner le meilleur de moi-même, l'impression de stagner d'un point de vue compétences.
=> pas l'impression que l'entretien annuel soit bien adapté",Si vous aviez trois choses à améliorer ce serait,"la formation
la cohésion/coopération inter SNDI
la présence de babyfoot dans les services info",Si vous deviez lister 3 points forts,"l'évolution positive de l'outillage (au regard du passé:  les fiches de demande de mise en prod au format word...)
l'organisation de l'offre de service
la place disponible pour installer un babyfoot",Depuis un an vous diriez :,Que votre expérience développeur s'est améliorée
Dans quel service développez-vous ?,SNDIN,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",3,"Les outils sont bien, mais il manque clairement un site documentaire unique, clair et bien organisé. Actuellement on trouve des informations éparpillées un peu partout et très mal organisées : certaines sur le site du portail des connaissances du SNDIN (mais les autres SNDI ???), des documents éparpillés un peu partout sur les différents dépôt git sans qu’on sache où les chercher, des liens qui meurent sans redirection (exemple : https://iahs.gitlab-pages.insee.fr/Offre%20secrets/Le%20coffre%20exploitant/Coffre-exploitant/) , et sur le site du SNDIN, des infos techniques sur des outils sont bien cachées dans ""bonnes pratiques"", etc...","Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",1,"Support : personne ne sait jamais qui est responsable de quoi, on ne sait jamais à qui s’adresser. Il suffirait d’une liste recensant qui fait quoi et à quel canal tchap cela correspond !","Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",1,"Manque énorme de documentation. On reçoit ordres et contre-ordres sur le canal iahs (parfois à 6 mois d’intervalle), sans explications (nous ne sommes pas experts en sécurité), sans savoir si nous sommes concernés ou pas (et sans explications sur la procédure à suivre pour le déterminer). Et tout ça mélangé avec les nombreuses demandes d’aide. Il est difficile de ne pas rater d’informations importantes. Pour commencer, pourquoi ne pas faire un canal pour les demandes d’aide et un AUTRE pour les communications importantes ! Ça nous ferait gagner énormément de temps et diminuerait le risque d’erreur.
Encore mieux : faire une page dédiée avec la liste des opérations à faire pour nous et des liens vers des explications pour les béotiens que nous sommes...","Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",Non renseigné,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",2,Il ne se passe plus grand-chose depuis le printemps 2025 côté coding dojo. Dommage.,Formation & support,4,"Les formations sont bien faites, le support au développement est efficace (une fois qu’on sait à qui s’adresser et s’ils sont disponibles)",Votre avis global sur votre expérience de développeur à l'Insee,3,"Il y a de très bonnes choses :  le temps qu’on a pour se former et progresser, les partages d’expérience (si on remet les coding dojo), beaucoup de formations en particulier pour les nouveaux, la possibilité d’assister à des événements locaux ou entre les SNDI.
Par contre l’infrastructure pose problème : difficulté pour identifier le(s) interlocuteur(s), manque d’information (ou trop d’informations vu que tout est mélangé), manque d’une entrée unique pour savoir quelles sont les opérations techniques que nous avons à faire (SOS, leaks, canaux iahs, persistance etc...). (ça pose particulièrement problème en période de congés, si le leader technique est absent, parfois il ne peut pas relire 15 jours de 10 canaux tchap et le reste de l’équipe peut oublier de lui en parler...)",Si vous aviez trois choses à améliorer ce serait,"Priorité absolue : la communication du SNSSI  :  une page avec la liste de ""qui s’occupe de quoi"", une liste officielle et commune de tout ce que nous avons à faire sur les projets (et pas éparpillé sur 4 outils et 10 canaux tchap...), et arrêter de mélanger les canaux entre informations importantes (""choses à faire"") et résolution de problèmes particuliers.
Moduler la priorité des problèmes de sécurité en fonction du contexte technique (appli publiques ou non, ou batch, données sensibles ou non...)
Refaire des coding dojo.",Si vous deviez lister 3 points forts,"L’ambiance entre collègues, la volonté de bien faire de tous (dans l’équipe et entre équipes)
Les formations.
La confiance accordée aux équipes de développement (pas de micro-management ou de flicage).",Depuis un an vous diriez :,Que votre expérience développeur est la même
Dans quel service développez-vous ?,SNDIP,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",4,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",4,"L'utilisation est aisée: les jobs rundecks sont faciles à utiliser.
Qualité du support irréprochable, on a toujours une réponse et très vite.
Par contre la documentation doit être mise à jour. Et étoffer la FAQ.
Il m'arrive très souvent d'avoir un besoin, de savoir qu'il y a un job pour ça mais je ne sais pas lequel c'est. Heureusement le support tchap est efficace","Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",4,"très bien, le chart helm générique facilite l'utilisation. Support très bon également","Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",4,"très peu convaincu par checkmarx, il n'a jamais ressorti quelque chose d'intéressant.","Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",3,"Par la partie monitor avec elastic à la place des QOE l'offre est satisfaisante. 
Pour la partie glowroot c'est parfois laborieux, il y a souvent des problèmes de mise en place pour se connecter puis on ne retrouve des fois pas nos machines.","Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",4,très bien!,Formation & support,2,"il n'y a pas d'offre de formation autour de l'IA, c'est à nous de monter en compétence nous même, dommage. Pour la partie kube elle serait imminente, on l'attend avec impatience.",Votre avis global sur votre expérience de développeur à l'Insee,4,Non renseigné,Si vous aviez trois choses à améliorer ce serait,"'- définir très clairement ce qu'un développeur a le droit de faire ou pas avec l'IA.
- publier un article ""Je viens de migrer sur kube, comment décommissionner mes VMs?""
- donner plusieurs sessions de formation à kube",Si vous deviez lister 3 points forts,"'- le support tchap
- le devops 
- sentiment d'être à l'état de l'art",Depuis un an vous diriez :,Que votre expérience développeur s'est améliorée
Dans quel service développez-vous ?,SNDIP,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",5,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,"Documentation pas assez mise en avant
Lenteur sur Rundeck","Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",5,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",5,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",Non renseigné,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",5,Non renseigné,Formation & support,5,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,5,Non renseigné,Si vous aviez trois choses à améliorer ce serait,Non renseigné,Si vous deviez lister 3 points forts,Non renseigné,Depuis un an vous diriez :,Que votre expérience développeur est la même
Dans quel service développez-vous ?,SNDIO,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",Non renseigné,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",2,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",3,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",3,Non renseigné,Formation & support,Non renseigné,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,1,Non renseigné,Si vous aviez trois choses à améliorer ce serait,arrêter le devops,Si vous deviez lister 3 points forts,Non renseigné,Depuis un an vous diriez :,Que votre expérience développeur s'est dégradée
Dans quel service développez-vous ?,SNDIO,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",4,"Les outils sont en général, les bons, seul point complexe pour docker/podman et le poste windows. Ce montage consomme énormément de temps pour réaliser des opérations. Docker est incontournable, il est urgent de basculer sur linux en gardant en priorité cet aspect performance.","Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,"L'offre VM la plus intéressante à mon sens étant Cactus, la documentation est obsolète, et l'aide faible, d’où cette note.","Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",3,"L'offre est présente, encore incomplète, la documentation est la mais adresser des problématiques d'OPS à des développeurs reste une problématique qui nécessiterait un niveau de service plus élevé, dans le sens, plus assisté et cachant beaucoup plus la plomberie technique de kubernetes. Après tout, si les consommateurs du service doivent savoir comment fonctionne l'entité qui leur rend service, est-ce vraiment un service rendu ?","Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",3,"Les outils sont plutôt bons, même si, il est difficile de s'y retrouver. Cependant, le coté systématique et parfois non pragmatique des durcissements laisse planer une impression de paranoïa. ( exemple avec la prise en compte des dépendances scope ""test"" dans les analyses.)","Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",4,"Le service rendu pour l'instant ressemble plus a une mise à disposition d'outil à configurer soit même. Le sujet étant autant important dans l'univers kube, il est dommage qu'il soit décorrélé de kube ( en organisation et donc en personne à contacter et donc en documentation).
D'un point de vue développeur, constituer une application cloud dans kubernetes avec l’écosystème mis en place demande au développeur d'avoir énormément d'interlocuteurs.","Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",2,"Les prestations Ippon sont de qualités, elles sont précieuses. En revanche le reste ne traite quasiment pas de méthode ni de concept, c'est beaucoup de technologie et d'outil, les développeurs se posent encore trop peu la question de la qualité et de l'après. La technologie permet de faire ca, mais est-ce que c'est une bonne idée de le faire ?",Formation & support,4,Les formations sont globalement du niveau nécessaire pour les développeurs. Il est plus difficile d'avoir accès a des formations pour les experts.,Votre avis global sur votre expérience de développeur à l'Insee,3,"Le niveau demandé actuellement pour un développeur est très élevé, même en comparaison avec ce qui se fait de mieux à l’extérieur. Le organisationnel en grandes notions induit un nombre important d'interlocuteur et une absence d'offre ""clé en main"" centrale qui permettrait d’accélérer énormément les choses en plus d'uniformiser.",Si vous aviez trois choses à améliorer ce serait,"La maturité des outils devops qui tiennent plus de la mise à disposition d'outil que d'un service rendu.
L'absence d'une équipe garante d'une offre clé en main complète ( archi, observabilité, ...)
Le poste de développeur qui est pour l'instant encore assez peu performant.",Si vous deviez lister 3 points forts,"La mise en place d'outil permettant de voir les problématiques d'obsolescence non traitées ( MCO minimale) et le suivi a venir.
La mise en mouvement vers l'amélioration de plusieurs sujets ( observabilite, poste linux ).
Les avancés pour facilité la mise en place des pipelines.
",Depuis un an vous diriez :,Que votre expérience développeur est la même
Dans quel service développez-vous ?,Non renseigné,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",Non renseigné,Non renseigné,"Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",Non renseigné,Non renseigné,"Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",Non renseigné,Non renseigné,"Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",Non renseigné,Non renseigné,"Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",Non renseigné,Non renseigné,Formation & support,Non renseigné,Non renseigné,Votre avis global sur votre expérience de développeur à l'Insee,Non renseigné,Non renseigné,Si vous aviez trois choses à améliorer ce serait,Non renseigné,Si vous deviez lister 3 points forts,Non renseigné,Depuis un an vous diriez :,Non renseigné
Dans quel service développez-vous ?,SNDIP,"Votre avis sur l'offre d'outils pour le développement IDE, gitlab, CI/CD, podman, sonar, compas, oscar, etc.",4,"La dépréciation de la version de Sonar commence à être problématique (pas de prise en charge de Java 25 par exemple), et GitLab pourrait être encore plus au centre de la stratégie de développement (notamment avec une version payante qui pourrait remplacer Tuleap et bénéficier des intégrations directes de Kubernetes)","Votre avis sur l'offre de service devops VM accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",2,"Sur l'offre VM, le fonctionnement par jobs Rundeck est parfois très obscur et pas toujours bien documenté, il n'y a pas de façon simple de pouvoir visualiser d'un coup d'oeil l'état de la configuration des VM d'une application.","Votre avis sur l'offre de service devops Kube accès à l'offre de service et à sa documentation, facilité d'utilisation, qualité du support...",4,"Le site documentaire de l'offre Kube est particulièrement riche et permet de se sortir de la plupart des situations, et l'équipe de support est très réactive. Une formation d'onboarding serait un plus pour embarquer les développeurs qui n'ont pas encore travaillé avec.","Votre avis sur l'outillage pour la sécurité les PES, analyzer, checkmarx, gitleaks,etc.",3,"Checkmarx est très lourd et peu intuitif - le fait de ne pas pouvoir récupérer les résultats d'analyse dans l'IDE rend son utilisation bien moins pratique que celle de Sonar par exemple. Analyzer est un meilleur outil, et les PES gagnerait à avoir un vrai site documentaire.","Votre avis sur l'offre de service d'observabilité monitor Elastic, Graphana, Glowroot, etc.",2,"A l'heure actuelle, il est particulièrement difficile de s'y retrouver dans l'offre d'observabilité et de comprendre quel outil consulter pour quel usage","Votre avis sur l'animation du dev ? Séminaires du dev, devops ac, kata, dojo, retex, prestations Ippon, etc.",3,"Les séminaires sont des temps forts importants pour la cohésion du réseau du développement, d'autres opportunités d'interactions inter-services seraient un plus",Formation & support,5,Le fait d'avoir une équipe dédiée à la formation et se s'appuyer sur la formation par les pairs est une immense richesse du service,Votre avis global sur votre expérience de développeur à l'Insee,3,"Dans l'ensemble beaucoup d'autonomie, mais parfois l'impression de devoir gérer énormément de choses sans avoir toujours les bons outils ou la bonne documentation pour mener à bien ses missions",Si vous aviez trois choses à améliorer ce serait,"Simplifier l'administration de l'offre VM / Donner à GitLab un rôle central, tant pour la gestion de projet que pour l'interaction avec les VM et Kube / Favoriser encore les échanges entre pairs",Si vous deviez lister 3 points forts,L'offre Kube et la disponibilité de l'équipe qui l'administre / La formation interne / L'autonomie laissée aux développeurs pour choisir leurs outils,Depuis un an vous diriez :,Que votre expérience développeur est la même
